name,gender,image,weight,type_name,cat_name,user_id
REI Co-op Magma 10,M,/images/seed/essentials/sleeping_bag/reimagma10.jpg,30,Sleeping Bag,Essentials,
REI Co-op Magma 10 -Womens,W,/images/seed/essentials/sleeping_bag/reimagma10w.jpg,36,Sleeping Bag,Essentials,
Feathered Friends UL 20 - Womens,W,/images/seed/essentials/sleeping_bag/feathered20w.jpg,28,Sleeping Bag,Essentials,
The North Face Furnace 20,M,/images/seed/essentials/sleeping_bag/tnffurnace20.jpg,44,Sleeping Bag,Essentials,
The North Face Furnace 20 - Womens,W,/images/seed/essentials/sleeping_bag/tnffurnace20w.jpg,50,Sleeping Bag,Essentials,
REI Co-op Radiant 19,M,/images/seed/essentials/sleeping_bag/reiradiant19.jpg,40,Sleeping Bag,Essentials,
REI Co-op Serrana 20 - Womens,W,/images/seed/essentials/sleeping_bag/reiserrana20w.jpg,50,Sleeping Bag,Essentials,
Marmot Sawtooth,M,/images/seed/essentials/sleeping_bag/marmotsawtooth15.jpg,40,Sleeping Bag,Essentials,
Marmot Angel Fire - Womens,W,/images/seed/essentials/sleeping_bag/marmotangelfirew.jpg,40.9,Sleeping Bag,Essentials,
Enlightened Equipment Revelation 20,U,/images/seed/essentials/sleeping_bag/enlightened20.jpg,20.3,Sleeping Bag,Essentials,
Kelty Cosmic 20,M,/images/seed/essentials/sleeping_bag/keltycosmic20.jpg,45,Sleeping Bag,Essentials,
Kelty Cosmic 20 - Womens,W,/images/seed/essentials/sleeping_bag/keltycosmic20w.jpg,45,Sleeping Bag,Essentials,
Therm-A-Rest NeoAir XLite,,/images/seed/essentials/sleeping_pad/neoairxlite.jpg,12,Sleeping Pad,Essentials,
Big Agnes Insulated AXL,,/images/seed/essentials/sleeping_pad/baaxl.jpg,10.6,Sleeping Pad,Essentials,
Therm-A-Rest NeoAir XTherm,,/images/seed/essentials/sleeping_pad/neoairxtherm.jpg,15,Sleeping Pad,Essentials,
Sea to Summit UltraLight Insulated,,/images/seed/essentials/sleeping_pad/ssulinsulated.jpg,15.5,Sleeping Pad,Essentials,
REI Co-op  Flash Insulated,,/images/seed/essentials/sleeping_pad/reiflashinsulated.jpg,15,Sleeping Pad,Essentials,
Therm-A-Rest Z Lite Sol,,/images/seed/essentials/sleeping_pad/zlitesol.jpg,14,Sleeping Pad,Essentials,
Klymit Static V,,/images/seed/essentials/sleeping_pad/klymitstaticv.jpg,18,Sleeping Pad,Essentials,
NEMO Tensor Insulated,,/images/seed/essentials/sleeping_pad/nemotensorinsulated.jpg,15,Sleeping Pad,Essentials,
Big Agnes Q-Core SLX,,/images/seed/essentials/sleeping_pad/baqcoreslx.jpg,16,Sleeping Pad,Essentials,
MSR Pocket Rocket 2,,/images/seed/essentials/stove/pocketrocket2.jpg,2.6,Stove,Essentials,
